Date,Open
2016-01-13,879.95
2016-01-14,863.5
2016-01-15,893.0
2016-01-18,890.0
2016-01-19,867.9
2016-01-20,834.0
2016-01-21,850.0
2016-01-22,853.0
2016-01-25,870.0
2016-01-27,880.0
2016-01-28,854.0
2016-01-29,864.0
2016-02-01,874.2
2016-02-02,889.9
2016-02-03,876.2
2016-02-04,865.0
2016-02-05,889.0
2016-02-08,903.0
2016-02-09,884.9
2016-02-10,888.5
2016-02-11,874.75
2016-02-12,860.0
2016-02-15,866.0
2016-02-16,855.05
2016-02-17,844.0
2016-02-18,862.0
2016-02-19,834.95
2016-02-22,856.0
2016-02-23,871.0
2016-02-24,879.0
2016-02-25,880.5
2016-02-26,868.0
2016-02-29,864.1
2016-03-01,852.6
2016-03-02,876.0
2016-03-03,874.4
2016-03-04,886.6
2016-03-08,867.9
2016-03-09,876.0
2016-03-10,870.0
2016-03-11,900.0
2016-03-14,898.0
2016-03-15,903.0
2016-03-16,880.3
2016-03-17,870.0
2016-03-18,871.0
2016-03-21,873.25
2016-03-22,860.0
2016-03-23,853.35
2016-03-28,850.0
2016-03-29,847.4
2016-03-30,864.0
2016-03-31,880.5
2016-04-01,871.0
2016-04-04,874.0
2016-04-05,885.4
2016-04-06,869.7
2016-04-07,864.0
2016-04-08,860.0
2016-04-11,850.0
2016-04-12,861.8
2016-04-13,870.5
2016-04-18,884.25
2016-04-20,885.0
2016-04-21,890.0
2016-04-22,885.7
2016-04-25,870.4
2016-04-26,864.2
2016-04-27,875.7
2016-04-28,889.85
2016-04-29,873.0
2016-05-02,864.0
2016-05-03,869.5
2016-05-04,872.0
2016-05-05,874.1
2016-05-06,863.95
2016-05-09,894.95
2016-05-10,904.95
2016-05-11,892.0
2016-05-12,920.0
2016-05-13,928.75
2016-05-16,948.95
2016-05-17,953.5
2016-05-18,969.0
2016-05-19,968.85
2016-05-20,956.0
2016-05-23,959.9
2016-05-24,952.4
2016-05-25,963.15
2016-05-26,988.55
2016-05-27,991.9
2016-05-30,994.0
2016-05-31,988.0
2016-06-01,989.05
2016-06-02,1007.0
2016-06-03,1023.5
2016-06-06,1017.1
2016-06-07,1025.35
2016-06-08,1029.0
2016-06-09,1018.0
2016-06-10,994.95
2016-06-13,987.0
2016-06-14,995.0
2016-06-15,986.0
2016-06-16,993.75
2016-06-17,1010.0
2016-06-20,994.95
2016-06-21,990.0
2016-06-22,980.0
2016-06-23,986.1
2016-06-24,974.1
2016-06-27,970.25
2016-06-28,981.0
2016-06-29,978.25
2016-06-30,1004.85
2016-07-01,1002.8
2016-07-04,1008.0
2016-07-05,1003.0
2016-07-07,989.35
2016-07-08,992.9
2016-07-11,1020.0
2016-07-12,1028.8
2016-07-13,1029.0
2016-07-14,1010.2
2016-07-15,1018.2
2016-07-18,1027.1
2016-07-19,1031.0
2016-07-20,1029.25
2016-07-21,1029.8
2016-07-22,1047.85
2016-07-25,1049.3
2016-07-26,1072.1
2016-07-27,1069.9
2016-07-28,1074.0
2016-07-29,1127.5
2016-08-01,1119.6
2016-08-02,1129.7
2016-08-03,1132.45
2016-08-04,1152.05
2016-08-05,1131.0
2016-08-08,1153.0
2016-08-09,1153.6
2016-08-10,1142.1
2016-08-11,1130.0
2016-08-12,1143.0
2016-08-16,1135.5
2016-08-17,1115.0
2016-08-18,1119.75
2016-08-19,1101.35
2016-08-22,1121.0
2016-08-23,1112.7
2016-08-24,1130.0
2016-08-25,1120.1
2016-08-26,1106.25
2016-08-29,1123.3
2016-08-30,1115.0
2016-08-31,1157.0
2016-09-01,1159.85
2016-09-02,1158.95
2016-09-06,1175.0
2016-09-07,1208.0
2016-09-08,1179.0
2016-09-09,1181.9
2016-09-12,1156.35
2016-09-14,1150.1
2016-09-15,1170.0
2016-09-16,1173.6
2016-09-19,1157.2
2016-09-20,1164.0
2016-09-21,1165.9
2016-09-22,1182.3
2016-09-23,1201.0
2016-09-26,1195.0
2016-09-27,1184.2
2016-09-28,1193.0
2016-09-29,1194.35
2016-09-30,1167.0
2016-10-03,1170.0
2016-10-04,1202.0
2016-10-05,1188.0
2016-10-06,1210.1
2016-10-07,1208.0
2016-10-10,1189.0
2016-10-13,1227.0
2016-10-14,1216.1
2016-10-17,1208.1
2016-10-18,1186.4
2016-10-19,1180.0
2016-10-20,1175.0
2016-10-21,1172.9
2016-10-24,1161.15
2016-10-25,1131.95
2016-10-26,1153.3
2016-10-27,1133.0
2016-10-28,1081.0
2016-10-30,1080.0
2016-11-01,1077.1
2016-11-02,1067.9
2016-11-03,1058.3
2016-11-04,1039.2
2016-11-07,1048.0
2016-11-08,1044.75
2016-11-09,999.0
2016-11-10,1056.0
2016-11-11,1000.0
2016-11-15,970.95
2016-11-16,917.5
2016-11-17,946.0
2016-11-18,925.9
2016-11-21,918.0
2016-11-22,908.0
2016-11-23,915.9
2016-11-24,938.25
2016-11-25,943.9
2016-11-28,950.0
2016-11-29,940.4
2016-11-30,967.95
2016-12-01,967.0
2016-12-02,936.0
2016-12-05,910.0
2016-12-06,940.9
2016-12-07,936.0
2016-12-08,941.95
2016-12-09,942.0
2016-12-12,931.3
2016-12-13,915.0
2016-12-14,908.0
2016-12-15,909.65
2016-12-16,911.95
2016-12-19,901.4
2016-12-20,875.5
2016-12-21,867.2
2016-12-22,865.55
2016-12-23,875.0
2016-12-26,874.0
2016-12-27,871.9
2016-12-28,876.0
2016-12-29,879.0
2016-12-30,884.95
2017-01-02,893.0
2017-01-03,910.0
2017-01-04,901.9
2017-01-05,913.9
2017-01-06,918.0
2017-01-09,932.0
2017-01-10,915.0
2017-01-11,926.5
2017-01-12,935.0
2017-01-13,935.55
2017-01-16,930.0
2017-01-17,940.0
2017-01-18,960.15
2017-01-19,965.1
2017-01-20,960.3
2017-01-23,967.4
2017-01-24,963.5
2017-01-25,979.0
2017-01-27,979.8
2017-01-30,969.0
2017-01-31,972.8
2017-02-01,970.7
